HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
United States,Denmark,1995,2,0,2
China PR,Australia,1995,4,2,6
Sweden,Japan,1995,2,0,2
Brazil,Germany,1995,1,6,7
Norway,Canada,1995,7,0,7
Nigeria,England,1995,2,3,5
United States,Australia,1995,4,1,5
China PR,Denmark,1995,3,1,4
Japan,United States,1995,0,4,4
Norway,Denmark,1995,3,1,4
Germany,England,1995,3,0,3
Sweden,China PR,1995,1,1,2
United States,Norway,1995,0,1,1
Germany,China PR,1995,1,0,1
China PR,United States,1995,0,2,2
Germany,Norway,1995,0,2,2
Poland,Estonia,1995,9,0,9
Bulgaria,Ukraine,1995,0,1,1
Iceland,Russia,1995,1,4,5
Czech Republic,Estonia,1995,11,0,11
Austria,FR Yugoslavia,1995,2,1,3
Norway,Slovakia,1995,17,0,17
Finland,Germany,1995,0,3,3
Taiwan,Thailand,1995,3,0,3
Japan,South Korea,1995,1,0,1
Uzbekistan,India,1995,1,0,1
Faroe Islands,Republic of Ireland,1995,0,2,2
China PR,Philippines,1995,21,0,21
Hong Kong,Kazakhstan,1995,0,0,0
Malaysia,Taiwan,1995,0,8,8
Japan,India,1995,6,0,6
South Korea,Uzbekistan,1995,6,0,6
Kazakhstan,Philippines,1995,0,0,0
China PR,Hong Kong,1995,12,0,12
FR Yugoslavia,Switzerland,1995,0,5,5
Malaysia,Thailand,1995,1,3,4
South Korea,India,1995,5,0,5
Japan,Uzbekistan,1995,17,0,17
China PR,Kazakhstan,1995,7,0,7
Hong Kong,Philippines,1995,2,0,2
Iceland,France,1995,3,3,6
Denmark,Sweden,1995,1,2,3
Japan,Taiwan,1995,3,0,3
China PR,South Korea,1995,4,0,4
Taiwan,South Korea,1995,0,0,0
China PR,Japan,1995,2,0,2
Hungary,Turkey,1995,6,0,6
Iceland,Netherlands,1995,2,0,2
Belarus,Czech Republic,1995,0,1,1
Wales,Republic of Ireland,1995,0,3,3
Denmark,Romania,1995,8,0,8
Slovakia,Finland,1995,0,0,0
Belgium,Faroe Islands,1995,2,0,2
Russia,France,1995,0,0,0
Estonia,Poland,1995,0,8,8
Sweden,Romania,1995,8,0,8
Switzerland,Austria,1995,3,0,3
Italy,Croatia,1995,7,0,7
Turkey,Bulgaria,1995,0,4,4
Scotland,Faroe Islands,1995,7,1,8
Slovakia,Germany,1995,0,3,3
Wales,Faroe Islands,1995,0,1,1
Republic of Ireland,Faroe Islands,1995,3,1,4
England,Italy,1995,1,1,2
Netherlands,Russia,1995,1,1,2
Croatia,Portugal,1995,0,2,2
Poland,Belarus,1995,3,0,3
Republic of Ireland,Scotland,1995,2,0,2
Austria,Greece,1995,1,0,1
Belgium,Wales,1995,2,0,2
England,Croatia,1995,5,0,5
Spain,Denmark,1995,0,1,1
Hungary,Ukraine,1995,1,1,2
Scotland,Belgium,1995,0,3,3
Greece,FR Yugoslavia,1995,0,3,3
France,Netherlands,1995,1,1,2
Portugal,Italy,1995,0,2,2
Portugal,England,1996,0,5,5
Republic of Ireland,Wales,1996,5,1,6
Greece,Switzerland,1996,2,0,2
Norway,China PR,1996,4,1,5
Portugal,Russia,1996,1,2,3
Sweden,Denmark,1996,2,1,3
Iceland,Finland,1996,3,1,4
Portugal,Norway,1996,0,3,3
China PR,Russia,1996,1,0,1
Sweden,Finland,1996,7,0,7
Denmark,Iceland,1996,3,0,3
Norway,Russia,1996,3,0,3
Portugal,China PR,1996,0,5,5
Sweden,Iceland,1996,1,0,1
Denmark,Finland,1996,2,0,2
Italy,England,1996,2,1,3
Portugal,Finland,1996,3,0,3
Russia,Iceland,1996,1,1,2
China PR,Denmark,1996,2,1,3
Norway,Sweden,1996,4,0,4
Wales,Scotland,1996,5,1,6
Spain,Romania,1996,5,1,6
Republic of Ireland,Belgium,1996,0,1,1
Greece,Austria,1996,0,0,0
Netherlands,France,1996,1,2,3
Italy,Portugal,1996,4,1,5
Scotland,Republic of Ireland,1996,2,4,6
Germany,Slovakia,1996,2,0,2
Wales,Belgium,1996,0,0,0
Ukraine,Turkey,1996,3,0,3
Bulgaria,Hungary,1996,3,2,5
Croatia,England,1996,0,2,2
Belgium,Scotland,1996,6,1,7
Denmark,Spain,1996,2,0,2
Romania,Spain,1996,2,2,4
Germany,Norway,1996,1,3,4
Belgium,Republic of Ireland,1996,5,1,6
Switzerland,Greece,1996,3,1,4
Germany,Finland,1996,6,0,6
Turkey,Hungary,1996,1,2,3
Croatia,Italy,1996,0,0,0
Romania,Denmark,1996,1,2,3
Sweden,Spain,1996,1,1,2
Russia,Netherlands,1996,0,1,1
Faroe Islands,Belgium,1996,0,9,9
Belarus,Poland,1996,2,0,2
England,Portugal,1996,3,0,3
Austria,Switzerland,1996,4,3,7
Ukraine,Bulgaria,1996,2,1,3
Finland,Norway,1996,0,2,2
France,Russia,1996,0,1,1
Portugal,Croatia,1996,1,0,1
Faroe Islands,Scotland,1996,0,3,3
Estonia,Czech Republic,1996,0,7,7
France,Iceland,1996,3,0,3
Estonia,Belarus,1996,0,4,4
FR Yugoslavia,Greece,1996,3,0,3
Spain,Sweden,1996,0,8,8
Scotland,Wales,1996,3,2,5
Netherlands,Iceland,1996,0,2,2
Norway,Germany,1996,0,0,0
Faroe Islands,Wales,1996,0,1,1
Poland,Czech Republic,1996,0,1,1
FR Yugoslavia,Austria,1996,5,1,6
Switzerland,FR Yugoslavia,1996,1,1,2
Ukraine,Hungary,1996,2,0,2
Bulgaria,Turkey,1996,3,0,3
Romania,Sweden,1996,0,5,5
Czech Republic,Belarus,1996,5,2,7
Norway,Finland,1996,7,0,7
Belarus,Estonia,1996,4,0,4
United States,Denmark,1996,3,0,3
Sweden,China PR,1996,0,2,2
Germany,Japan,1996,3,2,5
Norway,Brazil,1996,2,2,4
United States,Sweden,1996,2,1,3
Denmark,China PR,1996,1,5,6
Brazil,Japan,1996,2,0,2
Norway,Germany,1996,3,2,5
United States,China PR,1996,0,0,0
Denmark,Sweden,1996,1,3,4
Brazil,Germany,1996,1,1,2
Norway,Japan,1996,4,0,4
China PR,Brazil,1996,3,2,5
United States,Norway,1996,2,1,3
Brazil,Norway,1996,0,2,2
United States,China PR,1996,2,1,3
Finland,Slovakia,1996,2,1,3
Russia,Iceland,1996,4,0,4
Turkey,Ukraine,1996,0,3,3
Czech Republic,Poland,1996,6,2,8
Hungary,Bulgaria,1996,1,2,3
Slovakia,Norway,1996,0,4,4
Sweden,Denmark,1996,2,0,2
Finland,France,1996,0,2,2
Portugal,Denmark,1996,1,7,8
Belgium,Slovakia,1996,3,1,4
Switzerland,Croatia,1996,3,2,5
Spain,England,1996,2,1,3
Czech Republic,Netherlands,1996,1,2,3
Ukraine,Romania,1996,1,2,3
Iceland,Germany,1996,0,3,3
France,Finland,1996,3,0,3
Denmark,Portugal,1996,5,0,5
Slovakia,Belgium,1996,1,2,3
Netherlands,Czech Republic,1996,1,0,1
Croatia,Switzerland,1996,0,3,3
Romania,Ukraine,1996,1,4,5
Germany,Iceland,1996,4,0,4
England,Spain,1996,1,1,2
Denmark,Iceland,1997,4,1,5
Norway,Finland,1997,5,1,6
Portugal,China PR,1997,0,3,3
Sweden,Netherlands,1997,4,0,4
Norway,Iceland,1997,6,0,6
Denmark,Finland,1997,2,0,2
China PR,Netherlands,1997,1,0,1
Portugal,Sweden,1997,0,4,4
Norway,Denmark,1997,3,0,3
Finland,Iceland,1997,2,0,2
China PR,Sweden,1997,2,0,2
Portugal,Netherlands,1997,0,1,1
Portugal,Iceland,1997,0,0,0
Netherlands,Finland,1997,1,0,1
Sweden,Denmark,1997,0,0,0
Norway,China PR,1997,1,0,1
France,Spain,1997,1,1,2
Sweden,Russia,1997,2,1,3
Germany,Italy,1997,1,1,2
Norway,Denmark,1997,5,0,5
Sweden,Spain,1997,1,0,1
Russia,France,1997,1,3,4
Italy,Denmark,1997,2,2,4
Norway,Germany,1997,0,0,0
Sweden,France,1997,3,0,3
Russia,Spain,1997,0,1,1
Denmark,Germany,1997,0,2,2
Norway,Italy,1997,0,2,2
Sweden,Germany,1997,0,1,1
Italy,Spain,1997,2,1,3
Italy,Germany,1997,0,2,2
India,Hong Kong,1997,3,0,3
Japan,Guam,1997,21,0,21
China PR,North Korea,1997,3,1,4
Uzbekistan,Philippines,1997,2,1,3
Taiwan,South Korea,1997,1,0,1
Hong Kong,Guam,1997,1,0,1
Japan,India,1997,1,0,1
China PR,Uzbekistan,1997,8,0,8
North Korea,Philippines,1997,14,1,15
South Korea,Kazakhstan,1997,11,0,11
Japan,Hong Kong,1997,9,0,9
India,Guam,1997,10,0,10
China PR,Philippines,1997,16,0,16
North Korea,Uzbekistan,1997,8,0,8
Taiwan,Kazakhstan,1997,6,0,6
North Korea,Japan,1997,1,0,1
China PR,Taiwan,1997,10,0,10
Japan,Taiwan,1997,2,0,2
China PR,North Korea,1997,2,0,2
United States,Sweden,1998,3,0,3
China PR,Norway,1998,1,2,3
Norway,Sweden,1998,2,1,3
China PR,United States,1998,0,0,0
United States,Norway,1998,3,0,3
China PR,Sweden,1998,4,1,5
Paraguay,Uruguay,1998,3,2,5
Argentina,Bolivia,1998,9,0,9
Colombia,Venezuela,1998,4,1,5
Brazil,Peru,1998,15,0,15
Uruguay,Ecuador,1998,2,2,4
Argentina,Paraguay,1998,3,0,3
Chile,Venezuela,1998,5,0,5
Brazil,Colombia,1998,12,1,13
Argentina,Uruguay,1998,2,1,3
Ecuador,Bolivia,1998,5,2,7
Chile,Peru,1998,0,1,1
Brazil,Venezuela,1998,14,0,14
Ecuador,Paraguay,1998,3,0,3
Uruguay,Bolivia,1998,1,1,2
Venezuela,Peru,1998,1,2,3
Chile,Colombia,1998,1,5,6
Bolivia,Paraguay,1998,2,3,5
Argentina,Ecuador,1998,2,0,2
Colombia,Peru,1998,1,2,3
Brazil,Chile,1998,7,0,7
Brazil,Ecuador,1998,11,1,12
Argentina,Peru,1998,1,1,2
Peru,Ecuador,1998,3,3,6
Argentina,Brazil,1998,1,7,8
Norway,China PR,1998,0,1,1
United States,Finland,1998,2,0,2
Denmark,Sweden,1998,0,0,0
Portugal,Netherlands,1998,1,2,3
Norway,Finland,1998,1,0,1
United States,China PR,1998,4,1,5
Portugal,Sweden,1998,0,2,2
Denmark,Netherlands,1998,6,0,6
Norway,United States,1998,4,1,5
China PR,Finland,1998,1,0,1
Portugal,Denmark,1998,0,2,2
Sweden,Netherlands,1998,1,0,1
Portugal,Finland,1998,2,2,4
China PR,Netherlands,1998,3,2,5
United States,Sweden,1998,3,1,4
Norway,Denmark,1998,4,1,5
Mozambique,Lesotho,1998,3,0,3
South Africa,Eswatini,1998,9,0,9
Egypt,Uganda,1998,1,1,2
Ghana,Guinea,1998,11,0,11
Uganda,Egypt,1998,0,1,1
Eswatini,South Africa,1998,0,6,6
Lesotho,Mozambique,1998,2,4,6
Guinea,Ghana,1998,0,8,8
Guatemala,Honduras,1998,11,0,11
Haiti,Costa Rica,1998,2,0,2
El Salvador,Honduras,1998,1,1,2
Guatemala,El Salvador,1998,4,1,5
Costa Rica,El Salvador,1998,5,1,6
Guatemala,Haiti,1998,1,0,1
Trinidad and Tobago,Guyana,1998,7,0,7
Trinidad and Tobago,Guyana,1998,8,1,9
Canada,Puerto Rico,1998,21,0,21
Guatemala,Martinique,1998,2,0,2
Trinidad and Tobago,Haiti,1998,2,1,3
Mexico,Costa Rica,1998,3,2,5
Puerto Rico,Guatemala,1998,0,8,8
Canada,Martinique,1998,14,0,14
Haiti,Mexico,1998,1,7,8
Costa Rica,Trinidad and Tobago,1998,3,1,4
Puerto Rico,Martinique,1998,0,9,9
Canada,Guatemala,1998,4,0,4
Costa Rica,Haiti,1998,2,1,3
Trinidad and Tobago,Mexico,1998,2,2,4
Guatemala,Mexico,1998,0,8,8
Canada,Costa Rica,1998,2,0,2
Costa Rica,Guatemala,1998,4,0,4
Canada,Mexico,1998,1,0,1
Fiji,Samoa,1998,5,0,5
Papua New Guinea,American Samoa,1998,9,0,9
New Zealand,Papua New Guinea,1998,5,0,5
Australia,Fiji,1998,17,0,17
Nigeria,Morocco,1998,8,0,8
DR Congo,Egypt,1998,4,1,5
Papua New Guinea,Fiji,1998,7,1,8
New Zealand,Australia,1998,1,3,4
Ghana,South Africa,1998,4,0,4
Morocco,Egypt,1998,4,1,5
Nigeria,DR Congo,1998,6,0,6
Cameroon,South Africa,1998,3,2,5
Morocco,DR Congo,1998,0,0,0
Nigeria,Egypt,1998,6,0,6
Ghana,Cameroon,1998,3,1,4
Nigeria,Cameroon,1998,6,0,6
Ghana,DR Congo,1998,4,1,5
DR Congo,Cameroon,1998,3,3,6
Nigeria,Ghana,1998,2,0,2
New Zealand,Samoa,1998,21,0,21
Australia,American Samoa,1998,21,0,21
New Zealand,Fiji,1998,14,0,14
Australia,Papua New Guinea,1998,8,0,8
United States,Sweden,1999,1,1,2
Norway,Finland,1999,1,0,1
Denmark,Australia,1999,1,1,2
Portugal,China PR,1999,0,4,4
Norway,Sweden,1999,2,1,3
United States,Finland,1999,4,0,4
China PR,Denmark,1999,2,0,2
Portugal,Australia,1999,0,0,0
United States,Norway,1999,2,1,3
Sweden,Finland,1999,0,0,0
Portugal,Denmark,1999,0,5,5
Australia,China PR,1999,0,2,2
Portugal,Finland,1999,2,1,3
Australia,Sweden,1999,1,1,2
Norway,Denmark,1999,2,2,4
China PR,United States,1999,2,1,3
Costa Rica,Nicaragua,1999,8,1,9
Guatemala,Honduras,1999,6,0,6
Honduras,Nicaragua,1999,2,3,5
Guatemala,Costa Rica,1999,4,4,8
Costa Rica,Honduras,1999,12,0,12
Guatemala,Nicaragua,1999,6,0,6
Nicaragua,Honduras,1999,5,4,9
Guatemala,Costa Rica,1999,2,0,2
United States,Denmark,1999,3,0,3
Brazil,Mexico,1999,7,1,8
Japan,Canada,1999,1,1,2
China PR,Sweden,1999,2,1,3
North Korea,Nigeria,1999,1,2,3
Germany,Italy,1999,1,1,2
Norway,Russia,1999,2,1,3
Australia,Ghana,1999,1,1,2
Norway,Canada,1999,7,1,8
Japan,Russia,1999,0,5,5
Australia,Sweden,1999,1,3,4
China PR,Ghana,1999,7,0,7
United States,Nigeria,1999,7,1,8
North Korea,Denmark,1999,3,1,4
Brazil,Italy,1999,2,0,2
Germany,Mexico,1999,6,0,6
Canada,Russia,1999,1,4,5
Norway,Japan,1999,4,0,4
China PR,Australia,1999,3,1,4
Ghana,Sweden,1999,0,2,2
Nigeria,Denmark,1999,2,0,2
United States,North Korea,1999,3,0,3
Germany,Brazil,1999,3,3,6
Mexico,Italy,1999,0,2,2
China PR,Russia,1999,2,0,2
Norway,Sweden,1999,3,1,4
United States,Germany,1999,3,2,5
Brazil,Nigeria,1999,4,3,7
United States,Brazil,1999,2,0,2
Norway,China PR,1999,0,5,5
Brazil,Norway,1999,0,0,0
United States,China PR,1999,0,0,0
Bosnia and Herzegovina,Turkey,1999,2,6,8
Belarus,Estonia,1999,4,1,5
Finland,Russia,1999,0,2,2
Ukraine,Iceland,1999,2,2,4
Hungary,Bosnia and Herzegovina,1999,13,0,13
Estonia,Slovakia,1999,0,4,4
Norway,Switzerland,1999,4,0,4
Estonia,Romania,1999,2,6,8
Israel,Belarus,1999,0,5,5
FR Yugoslavia,Finland,1999,2,0,2
Poland,Austria,1999,4,1,5
Iceland,Italy,1999,0,0,0
Germany,Ukraine,1999,3,0,3
Sweden,France,1999,2,2,4
Denmark,Russia,1999,2,4,6
Greece,Hungary,1999,0,8,8
Wales,Poland,1999,0,4,4
Scotland,Republic of Ireland,1999,3,0,3
Belarus,Slovakia,1999,1,0,1
Russia,FR Yugoslavia,1999,4,0,4
Italy,Ukraine,1999,1,0,1
Germany,Iceland,1999,5,0,5
Switzerland,England,1999,0,3,3
Belgium,Austria,1999,3,1,4
Bosnia and Herzegovina,Greece,1999,1,3,4
Czech Republic,Republic of Ireland,1999,1,1,2
Israel,Estonia,1999,2,1,3
Portugal,Norway,1999,0,4,4
Croatia,Scotland,1999,4,3,7
Austria,Wales,1999,1,1,2
Romania,Belarus,1999,1,1,2
Netherlands,France,1999,1,1,2
Republic of Ireland,Croatia,1999,2,0,2
Israel,Romania,1999,0,4,4
Turkey,Hungary,1999,2,8,10
Belgium,Poland,1999,4,1,5
Spain,Sweden,1999,2,5,7
North Korea,India,1999,7,0,7
Taiwan,Malaysia,1999,16,0,16
China PR,South Korea,1999,5,2,7
Hong Kong,Kazakhstan,1999,0,8,8
Japan,Thailand,1999,9,0,9
Philippines,Nepal,1999,5,0,5
North Korea,Vietnam,1999,12,1,13
India,Malaysia,1999,3,0,3
China PR,Guam,1999,15,0,15
South Korea,Kazakhstan,1999,6,0,6
Denmark,FR Yugoslavia,1999,6,0,6
Uzbekistan,Japan,1999,1,5,6
Thailand,Nepal,1999,5,0,5
Italy,Germany,1999,4,4,8
Malaysia,North Korea,1999,1,5,6
Taiwan,Vietnam,1999,4,1,5
Kazakhstan,China PR,1999,0,9,9
Hong Kong,Guam,1999,0,2,2
Japan,Nepal,1999,14,0,14
Philippines,Uzbekistan,1999,0,1,1
Taiwan,North Korea,1999,1,1,2
India,Vietnam,1999,0,3,3
China PR,Hong Kong,1999,12,0,12
South Korea,Guam,1999,8,0,8
Scotland,Czech Republic,1999,2,1,3
Thailand,Uzbekistan,1999,0,1,1
Philippines,Japan,1999,0,6,6
Vietnam,Malaysia,1999,4,0,4
Taiwan,India,1999,2,0,2
Guam,Kazakhstan,1999,0,8,8
South Korea,Hong Kong,1999,14,0,14
Israel,Slovakia,1999,0,5,5
Uzbekistan,Nepal,1999,6,1,7
Philippines,Thailand,1999,0,1,1
North Korea,China PR,1999,0,3,3
Japan,Taiwan,1999,0,2,2
North Korea,Japan,1999,3,2,5
China PR,Taiwan,1999,3,0,3
France,Spain,1999,1,0,1
Portugal,Switzerland,1999,0,1,1
Wales,Belgium,1999,0,2,2
Spain,Netherlands,1999,1,1,2
Greece,Turkey,1999,0,0,0
Turkey,Bosnia and Herzegovina,2000,3,1,4
England,Portugal,2000,2,0,2
Greece,Bosnia and Herzegovina,2000,4,0,4
England,Norway,2000,0,3,3
Portugal,United States,2000,0,7,7
Sweden,Denmark,2000,1,0,1
China PR,Canada,2000,4,0,4
Norway,Finland,2000,2,0,2
United States,Denmark,2000,2,1,3
Portugal,Sweden,2000,1,5,6
China PR,Finland,2000,4,1,5
Norway,Canada,2000,2,1,3
United States,Sweden,2000,1,0,1
Portugal,Denmark,2000,0,2,2
China PR,Norway,2000,0,3,3
Finland,Canada,2000,1,2,3
Portugal,Finland,2000,0,3,3
Canada,Denmark,2000,3,2,5
China PR,Sweden,2000,1,0,1
United States,Norway,2000,1,0,1
Belgium,Wales,2000,6,0,6
Netherlands,Spain,2000,1,2,3
Switzerland,Portugal,2000,0,2,2
Germany,Italy,2000,3,0,3
Hungary,Greece,2000,6,0,6
Denmark,Finland,2000,3,1,4
France,Netherlands,2000,2,1,3
Austria,Belgium,2000,0,3,3
Portugal,England,2000,2,2,4
Slovakia,Israel,2000,4,0,4
Hungary,Turkey,2000,6,0,6
Sweden,Netherlands,2000,1,1,2
Austria,Poland,2000,2,3,5
Republic of Ireland,Scotland,2000,0,3,3
Poland,Belgium,2000,2,2,4
Croatia,Republic of Ireland,2000,1,3,4
Norway,Portugal,2000,5,0,5
Ukraine,Germany,2000,1,6,7
England,Switzerland,2000,1,0,1
Turkey,Greece,2000,2,3,5
Bosnia and Herzegovina,Hungary,2000,0,3,3
Wales,Austria,2000,0,1,1
Scotland,Croatia,2000,4,1,5
Netherlands,Sweden,2000,0,3,3
Estonia,Belarus,2000,0,7,7
Romania,Slovakia,2000,4,1,5
Russia,Finland,2000,3,0,3
Spain,France,2000,1,2,3
FR Yugoslavia,Denmark,2000,0,8,8
Poland,Wales,2000,2,2,4
Republic of Ireland,Czech Republic,2000,0,4,4
France,Sweden,2000,2,0,2
Finland,Denmark,2000,2,1,3
Norway,England,2000,8,0,8
Romania,Israel,2000,5,1,6
Italy,Iceland,2000,1,0,1
Sweden,Spain,2000,7,0,7
Russia,Denmark,2000,5,2,7
Slovakia,Romania,2000,0,3,3
Ukraine,Italy,2000,0,0,0
Croatia,Czech Republic,2000,1,2,3
Brazil,Costa Rica,2000,8,0,8
United States,Trinidad and Tobago,2000,11,0,11
China PR,Guatemala,2000,14,0,14
Canada,Mexico,2000,4,3,7
Switzerland,Norway,2000,0,1,1
FR Yugoslavia,Russia,2000,0,1,1
Brazil,Trinidad and Tobago,2000,11,0,11
United States,Costa Rica,2000,8,0,8
Guatemala,Mexico,2000,0,7,7
China PR,Canada,2000,3,2,5
Trinidad and Tobago,Costa Rica,2000,2,2,4
United States,Brazil,2000,0,0,0
Estonia,Israel,2000,1,2,3
Canada,Guatemala,2000,12,0,12
Mexico,China PR,2000,0,3,3
Belarus,Romania,2000,0,1,1
United States,Canada,2000,4,1,5
China PR,Brazil,2000,2,3,5
Finland,FR Yugoslavia,2000,2,0,2
Czech Republic,Croatia,2000,5,0,5
China PR,Canada,2000,2,1,3
United States,Brazil,2000,1,0,1
Belarus,Israel,2000,1,0,1
Gabon,Cameroon,2000,0,3,3
Réunion,Egypt,2000,4,3,7
Morocco,Algeria,2000,3,0,3
Zimbabwe,Lesotho,2000,4,0,4
Slovakia,Belarus,2000,6,1,7
Egypt,Réunion,2000,1,1,2
Algeria,Morocco,2000,1,3,4
Lesotho,Zimbabwe,2000,0,4,4
Iceland,Germany,2000,0,6,6
Iceland,Ukraine,2000,2,3,5
Czech Republic,Scotland,2000,5,1,6
Romania,Estonia,2000,10,0,10
Slovakia,Estonia,2000,3,1,4
Australia,Germany,2000,0,3,3
Sweden,Brazil,2000,0,2,2
United States,Norway,2000,2,0,2
China PR,Nigeria,2000,3,1,4
Australia,Sweden,2000,1,1,2
Germany,Brazil,2000,2,1,3
United States,China PR,2000,1,1,2
Norway,Nigeria,2000,3,1,4
Australia,Brazil,2000,1,2,3
Germany,Sweden,2000,1,0,1
United States,Nigeria,2000,3,1,4
Norway,China PR,2000,2,1,3
Romania,Iceland,2000,2,2,4
Germany,Norway,2000,0,1,1
United States,Brazil,2000,1,0,1
Germany,Brazil,2000,2,0,2
Norway,United States,2000,3,2,5
Iceland,Romania,2000,8,0,8
Hungary,Netherlands,2000,0,3,3
Belgium,Switzerland,2000,1,1,2
Czech Republic,FR Yugoslavia,2000,1,0,1
Sweden,Finland,2000,5,1,6
Italy,Portugal,2000,3,0,3
Spain,Denmark,2000,1,6,7
Ukraine,England,2000,1,2,3
Finland,Sweden,2000,2,5,7
South Africa,Réunion,2000,3,0,3
Zimbabwe,Uganda,2000,2,2,4
Nigeria,Ghana,2000,2,2,4
Cameroon,Morocco,2000,4,1,5
Zimbabwe,Réunion,2000,2,1,3
South Africa,Uganda,2000,3,0,3
Ghana,Cameroon,2000,2,0,2
Nigeria,Morocco,2000,6,0,6
Uganda,Réunion,2000,2,1,3
South Africa,Zimbabwe,2000,2,1,3
Ghana,Morocco,2000,3,0,3
Nigeria,Cameroon,2000,3,0,3
Switzerland,Belgium,2000,0,0,0
Netherlands,Hungary,2000,2,0,2
FR Yugoslavia,Czech Republic,2000,2,3,5
South Africa,Ghana,2000,1,0,1
Nigeria,Zimbabwe,2000,6,0,6
Denmark,Spain,2000,4,2,6
Portugal,Italy,2000,1,0,1
Ghana,Zimbabwe,2000,6,3,9
South Africa,Nigeria,2000,0,2,2
England,Ukraine,2000,2,0,2
Canada,United States,2001,3,0,3
Portugal,Sweden,2001,1,4,5
Denmark,China PR,2001,2,1,3
Norway,Finland,2001,5,1,6
Portugal,United States,2001,0,2,2
Sweden,Canada,2001,5,2,7
Norway,China PR,2001,0,2,2
Finland,Denmark,2001,0,6,6
Sweden,United States,2001,2,0,2
Portugal,Canada,2001,1,2,3
Norway,Denmark,2001,1,0,1
China PR,Finland,2001,3,0,3
Portugal,Finland,2001,1,3,4
Norway,United States,2001,4,3,7
China PR,Canada,2001,5,1,6
Sweden,Denmark,2001,3,0,3
Germany,Sweden,2001,3,1,4
Russia,England,2001,1,1,2
Italy,Denmark,2001,2,1,3
Norway,France,2001,3,0,3
Germany,Russia,2001,5,0,5
Sweden,England,2001,4,0,4
France,Denmark,2001,3,4,7
Norway,Italy,2001,1,1,2
Germany,England,2001,3,0,3
Sweden,Russia,2001,1,0,1
Denmark,Norway,2001,1,0,1
France,Italy,2001,2,0,2
Germany,Norway,2001,1,0,1
Denmark,Sweden,2001,0,1,1
Germany,Sweden,2001,1,0,1
Taiwan,Malaysia,2001,14,0,14
India,South Korea,2001,0,7,7
Japan,Singapore,2001,14,0,14
North Korea,Guam,2001,19,0,19
China PR,Hong Kong,2001,10,0,10
Uzbekistan,Philippines,2001,5,0,5
Malaysia,Thailand,2001,0,4,4
Taiwan,India,2001,5,0,5
Vietnam,Guam,2001,2,0,2
North Korea,Singapore,2001,24,0,24
Hong Kong,Philippines,2001,2,1,3
China PR,Uzbekistan,2001,11,0,11
Malaysia,South Korea,2001,0,3,3
Taiwan,Thailand,2001,5,0,5
Japan,Guam,2001,11,0,11
North Korea,Vietnam,2001,4,0,4
Uzbekistan,Hong Kong,2001,4,0,4
China PR,Philippines,2001,10,0,10
India,Thailand,2001,0,1,1
Taiwan,South Korea,2001,0,1,1
Vietnam,Singapore,2001,8,0,8
Japan,North Korea,2001,0,1,1
South Korea,Thailand,2001,4,0,4
India,Malaysia,2001,3,0,3
Japan,Vietnam,2001,3,1,4
Guam,Singapore,2001,1,2,3
South Korea,Japan,2001,1,2,3
North Korea,China PR,2001,3,1,4
South Korea,China PR,2001,0,8,8
North Korea,Japan,2001,2,0,2
Norway,United States,2002,1,0,1
China PR,Germany,2002,2,1,3
Germany,United States,2002,0,0,0
China PR,Norway,2002,0,3,3
Germany,Norway,2002,3,1,4
China PR,United States,2002,0,2,2
Denmark,Germany,2002,0,3,3
China PR,Finland,2002,4,1,5
Sweden,United States,2002,1,1,2
Norway,England,2002,3,1,4
Canada,Scotland,2002,3,0,3
Portugal,Wales,2002,0,1,1
Finland,Denmark,2002,0,2,2
Germany,China PR,2002,2,4,6
Sweden,Norway,2002,3,3,6
United States,England,2002,2,0,2
Canada,Wales,2002,4,0,4
Portugal,Scotland,2002,1,2,3
Denmark,China PR,2002,0,1,1
Finland,Germany,2002,0,2,2
England,Sweden,2002,3,6,9
Norway,United States,2002,3,2,5
Wales,Scotland,2002,0,1,1
Portugal,Canada,2002,1,7,8
Portugal,Wales,2002,4,0,4
England,Scotland,2002,4,1,5
Finland,Canada,2002,3,0,3
United States,Denmark,2002,3,2,5
Sweden,Germany,2002,2,1,3
China PR,Norway,2002,1,0,1
Trinidad and Tobago,Dominica,2002,13,0,13
Trinidad and Tobago,Dominica,2002,9,0,9
Haiti,Bahamas,2002,9,0,9
Dominican Republic,Saint Lucia,2002,2,2,4
Haiti,Saint Lucia,2002,2,0,2
Dominican Republic,Bahamas,2002,3,0,3
Jamaica,Puerto Rico,2002,8,0,8
Saint Lucia,Bahamas,2002,7,1,8
Haiti,Dominican Republic,2002,2,0,2
Puerto Rico,Jamaica,2002,0,3,3
Panama,Guatemala,2002,2,1,3
Costa Rica,Honduras,2002,5,2,7
El Salvador,Panama,2002,1,3,4
Guatemala,Honduras,2002,2,1,3
Costa Rica,Guatemala,2002,4,0,4
El Salvador,Honduras,2002,1,0,1
Costa Rica,Panama,2002,4,1,5
El Salvador,Guatemala,2002,1,5,6
Jamaica,Haiti,2002,2,0,2
El Salvador,Costa Rica,2002,0,3,3
Panama,Honduras,2002,2,6,8
Suriname,U.S. Virgin Islands,2002,6,1,7
Suriname,U.S. Virgin Islands,2002,2,0,2
Eritrea,Tanzania,2002,2,3,5
São Tomé and Príncipe,Gabon,2002,0,2,2
Ivory Coast,Mali,2002,3,3,6
